Point,AL,2000-03-01
Point,AL,2011-08-12
Point,AL,2000-03-01
Point,AL,2000-03-01
Point,AL,2000-03-01
Point,AL,2000-03-01
Point,AL,2007-06-05
Point,AL,2000-03-01
Point,AL,2007-02-08
Point,AL,2007-02-08
Point,AL,2000-03-01
Point,AL,2000-03-01
Point,AL,2011-09-06
Point,AL,2000-03-01
Point,AL,2000-03-01
Point,AL,2000-03-01
Point,AL,2007-02-08
Point,AL,2014-02-07
Point,AL,2000-03-01
Point,AL,2000-03-01
Point,AL,2003-07-29
Point,AL,2000-03-01
Point,AL,2000-03-01
Point,AL,2007-02-08
Point,AL,2003-03-26
Point,AL,2000-03-01
Point,AL,2000-03-01
Point,AL,2009-11-23
Point,AL,2000-03-01
Point,AL,2000-03-01
Point,AL,2000-03-01
Point,AL,2004-04-12
Point,AL,2000-03-01
Point,AL,2007-02-08
Point,AL,2000-03-01
Point,AL,2000-03-01
Point,AL,2005-01-25
Point,AL,2000-03-01
Point,AL,2011-09-06
Point,AL,2005-01-25
Point,AL,2000-03-01
Point,AL,2000-03-01
Point,AL,2000-03-01
Point,AL,2007-02-08
Point,AL,2007-02-08
Point,AL,2005-01-21
Point,AL,2000-03-01
Point,AL,2000-03-01
Point,AL,2007-02-08
Point,AL,2000-03-01
Point,AL,2006-10-02
Point,AL,2000-03-01
Point,AL,2000-03-01
Point,AL,2000-03-01
Point,AL,2000-03-01
Point,AK,2000-03-01
Point,AK,2012-06-02
Point,AK,2007-02-08
Point,AK,2007-02-08
Point,AK,2007-12-07
Point,AK,2007-02-08
Point,AK,2007-02-08
Point,AK,2007-02-08
Point,AK,2007-02-08
Point,AK,2007-02-08
Point,AK,2010-05-28
Point,AK,2006-03-31
Point,AK,2000-03-01
Point,AK,2006-08-02
Point,AK,2007-02-08
Point,AK,2007-02-08
Point,AK,2007-02-08
Point,AK,2007-02-08
Point,AK,2000-03-01
Point,AK,2000-03-01
Point,AK,2000-03-01
Point,AK,2007-02-08
Point,AK,2000-03-01
Point,AK,2000-03-01
Point,AK,2007-02-08
Point,AK,2007-02-08
Point,AK,2006-08-15
Point,AK,2007-02-08
Point,AK,2007-02-08
Point,AK,2007-02-08
Point,AK,2007-02-08
Point,AK,2007-02-08
Point,AK,2000-03-01
Point,AK,2007-02-08
Point,AK,2005-05-19
Point,AK,2004-04-27
Point,AK,2007-02-08
Point,AK,2007-02-08
Point,AK,2007-02-08
Point,AK,2004-04-12
Point,AK,2007-02-08
Point,AK,2007-02-08
Point,AK,2007-02-08
Point,AK,2007-02-08
Point,AK,2012-10-10
Point,AK,2000-03-01
Point,AK,2007-02-08
Point,AK,2003-01-30
Point,AK,2007-02-08
Point,AK,2003-01-30
Point,AK,2006-08-15
Point,AK,2012-06-11
Point,AK,2007-02-08
Point,AK,2007-02-08
Point,AK,2003-04-11
Point,AK,2012-06-01
Point,AK,2007-02-08
Point,AK,2007-02-08
Point,AK,2007-02-08
Point,AK,2007-02-08
Point,AK,2006-01-19
Point,AZ,2012-06-11
Point,AZ,2000-03-01
Point,AZ,2007-02-08
Point,AZ,2009-09-24
Point,AZ,2002-08-29
Point,AZ,2012-03-21
Point,AZ,2004-04-12
Point,AZ,2006-10-23
Point,AZ,2012-03-21
Point,AZ,2012-03-21
Point,AZ,2000-03-01
Point,AZ,2000-03-01
Point,AZ,2000-03-01
Point,AZ,2000-03-01
Point,AZ,2012-03-21
Point,AZ,2000-03-01
Point,AZ,2012-03-21
Point,AZ,2007-02-08
Point,AZ,2000-03-01
Point,AZ,2000-03-01
Point,AZ,2003-12-09
Point,AZ,2011-09-06
Point,AZ,2003-12-09
Point,AZ,2014-02-27
Point,AZ,2002-12-23
Point,AZ,2009-09-23
Point,AZ,2000-03-01
Point,AZ,2000-03-01
